elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
0,2,-1,0.1724137931034483,-1,-1,benign
0,2,-1,0.1724137931034483,-1,-1,benign
0,2,-1,0.1724137931034483,-1,-1,benign
0,2,-1,0.1724137931034483,-1,-1,benign
0,2,-1,0.1724137931034483,-1,-1,benign
0,2,-1,0.1724137931034483,-1,-1,benign
0,2,-1,0.1724137931034483,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.25,-1,-1,benign
0,2,-1,0.25,-1,-1,benign
0,2,-1,0.25,-1,-1,benign
0,2,-1,0.25,-1,-1,benign
0,2,-1,0.25,-1,-1,benign
0,2,-1,0.25,-1,-1,benign
0,2,-1,0.25,-1,-1,benign
0,2,-1,0.25,-1,-1,benign
110,1,-1,0.2,-1,-1,benign
110,1,-1,0.2,-1,-1,benign
110,1,-1,0.2,-1,-1,benign
110,1,-1,0.2,-1,-1,benign
110,1,-1,0.2,-1,-1,benign
110,1,-1,0.2,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.22535211267605634,-1,-1,benign
60,2,-1,0.22535211267605634,-1,-1,benign
60,2,-1,0.22535211267605634,-1,-1,benign
60,2,-1,0.22535211267605634,-1,-1,benign
60,2,-1,0.22535211267605634,-1,-1,benign
60,2,-1,0.22535211267605634,-1,-1,benign
60,2,-1,0.22535211267605634,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.21621621621621623,-1,-1,benign
60,2,-1,0.21621621621621623,-1,-1,benign
60,2,-1,0.21621621621621623,-1,-1,benign
60,2,-1,0.21621621621621623,-1,-1,benign
60,2,-1,0.21621621621621623,-1,-1,benign
60,2,-1,0.21621621621621623,-1,-1,benign
60,2,-1,0.21621621621621623,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
